id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,ciudad,tiene_reviews
6369,Hispanoamérica,40.45724,-3.67688,Private room,60.0,1,78,2020-09-20,0.58,1,180,Madrid,1
21853,Cármenes,40.40381,-3.7413,Private room,31.0,4,33,2018-07-15,0.42,2,364,Madrid,1
23001,Legazpi,40.3884,-3.69511,Entire home/apt,50.0,15,0,,0.0,7,1,Madrid,0
24805,Universidad,40.42183,-3.70529,Entire home/apt,92.0,5,10,2020-03-01,0.13,1,72,Madrid,1
26825,Legazpi,40.38975,-3.69018,Private room,26.0,2,149,2020-03-12,1.12,1,365,Madrid,1
28200,Legazpi,40.3886,-3.69492,Entire home/apt,85.0,1,3,2012-05-28,0.03,7,365,Madrid,1
30320,Sol,40.41476,-3.70418,Entire home/apt,65.0,5,170,2020-01-04,1.29,3,351,Madrid,1
30959,Embajadores,40.41259,-3.70105,Entire home/apt,54.0,3,8,2017-05-30,0.11,1,0,Madrid,1
37859,Palacio,40.41844,-3.71073,Entire home/apt,1400.0,3,0,,0.0,3,365,Madrid,0
40718,Justicia,40.41969,-3.69736,Entire home/apt,79.0,3,118,2019-07-23,0.91,11,302,Madrid,1
40916,Universidad,40.42247,-3.70577,Entire home/apt,90.0,5,48,2020-01-05,0.38,3,346,Madrid,1
47957,Goya,40.42792,-3.67682,Entire home/apt,82.0,10,55,2018-07-10,0.44,2,319,Madrid,1
59923,Palacio,40.42103,-3.71038,Private room,40.0,1,17,2019-10-05,0.15,1,365,Madrid,1
62423,Justicia,40.41884,-3.69655,Private room,24.0,1,79,2020-09-06,2.21,2,357,Madrid,1
64131,Peñagrande,40.48543,-3.72318,Private room,21.0,2,35,2020-11-30,0.46,2,364,Madrid,1
70059,Universidad,40.42381,-3.71038,Entire home/apt,51.0,5,41,2020-08-26,0.33,1,38,Madrid,1
70316,Palacio,40.42191,-3.71038,Entire home/apt,75.0,28,7,2020-04-30,0.1,1,348,Madrid,1
72150,Embajadores,40.4115,-3.70449,Entire home/apt,139.0,2,108,2020-07-31,0.87,5,180,Madrid,1
